dataproduct_type,dataproduct_subtype,obs_collection,instrument_name,facility_name,filter,o_calib_status,pol_states,obstech
cube,catalog,081.C-0827,ALMA,APEX-12m,1,absolute,/XX/,CONTINUUM
image,catalogtile,092.A-0472,APEXBOL,ESO-3.6,10,normalized,/XX/XY/YX/YY/,ECHELLE
measurements,deep pawprint,096.B-0054,APEXHET,ESO-NTT,3,uncalibrated,/XX/YY/,"ECHELLE,ABSORPTION-CELL"
spectrum,deep tile,108.2289,CRIRES,ESO-VISTA,3 6,,,"ECHELLE,ABSORPTION-CELL,SLIC#1"
visibility,exposure,110.23NK,EFOSC,ESO-VLT-U1,3 6 7,,,"ECHELLE,ABSORPTION-CELL,SLIC#3"
,fluxmap,1100.A-0528,"EFOSC, SOFI",ESO-VLT-U1234,3 6 7 8 9,,,"ECHELLE,SLIC#1"
,ifs,1101.A-0127,ERIS,ESO-VLT-U124,3 7,,,"ECHELLE,SLIC#2"
,pawprint,193.D-0232,ESPRESSO,ESO-VLT-U2,350um,,,"ECHELLE,SLIC#3"
,srctbl,195.B-0283,FEROS,"ESO-VLT-U2,ESO-VLT-U3",4,,,"ECHELLE,SLIT,MAPPING"
,tile,196.B-0578,FORS1,ESO-VLT-U234,4 5,,,"ECHELLE,SLIT,NODDING"
,,196.D-0214,FORS2,ESO-VLT-U3,4 6 7,,,"ECHELLE,SLIT,OFFSET"
,,197.A-0384,GIRAFFE,ESO-VLT-U4,4 8,,,"ECHELLE,SLIT,STARE"
,,198.A-0708,"GIRAFFE, UVES",ESO-VLTI-A1234,4 9,,,IFU
,,60.A-9284H,HARPS,ESO-VLTI-A124,450um,,,"IFU,NODDING"
,,60.A-9493,HAWKI,ESO-VLTI-U1234,5,,,IMAGE
,,ADHOC,ISAAC,ESO-VST,5 10,,,"IMAGE, JITTER"
,,ALCOHOLS,KMOS,JAO,6,,,"IMAGE,CHOPNOD"
,,ALLSMOG,MUSE,MPG/ESO-2.2,6 7,,,"IMAGE,CLASSICAL"
,,ALMA,NAOS+CONICA,MULTI,6 8,,,"IMAGE,CLASSICAL,CORONOGRAPHY"
,,AMAZE,NGTS,NGTS,6 9,,,"IMAGE,DIRECT"
,,AMBRE,NIRPS,VISTA,7,,,"IMAGE,DITHER"
,,APEX-SciOps,OMEGACAM,,7 10,,,"IMAGE,DUAL"
,,ARP_VST,"OMEGACAM, VIRCAM",,7 9,,,"IMAGE,DUAL,CORONOGRAPHY"
,,ATLASGAL,PIONIER,,8,,,"IMAGE,HIT"
,,CAFFEINE,SINFONI,,870u,,,"IMAGE,JITTER"
,,CRIRESplus,SOFI,,9,,,"IMAGE,OFFSET"
,,ENTROPY,SPHERE,,B,,,INTERFEROMETRY
,,ePESSTOplus,UVES,,Br-g,,,MOS
,,ERIS-NIX,VIMOS,,BrG,,,"MOS,NODDING"
,,ERIS-SPIFFIER,VIRCAM,,CH4,,,MXU
,,ESPRESSO,VISIR,,CntH,,,NODDING
,,ESSENCE,XSHOOTER,,CntK1,,,POLARIMETRY
,,FDS,,,CntK2,,,"POLARIMETRY,CORONOGRAPHY"
,,FEROS,,,Fe-II,,,single-dish
,,Fornax3D,,,g_SDSS,,,SPECTRUM
,,FORS2-SPEC,,,"g_SDSS, i_SDSS, r_SDSS, u_SDSS",,,
,,GAIAESO,,,"g_SDSS, i_SDSS, r_SDSS, u_SDSS, z_SDSS",,,
,,GCAV,,,"g_SDSS, i_SDSS, r_SDSS, z_SDSS",,,
,,GIRAFFE,,,"g_SDSS, r_SDSS, u_SDSS",,,
,,GOODS_FORS2,,,H,,,
,,GOODS_ISAAC,,,"H, J",,,
,,GOODS_VIMOS_IMAG,,,"H, J, Ks",,,
,,GOODS_VIMOS_SPEC,,,"H, J, Ks, NB118, Y",,,
,,GW170817,,,"H, J, Ks, Y",,,
,,HARPS,,,"H, J, Ks, Y, Z",,,
,,HAWKI,,,"H, J, Ks, Y, Z, g_SDSS, i_SDSS, r_SDSS, u_SDSS",,,
,,HUGS,,,"H, J, Ks, Z",,,
,,INSPIRE,,,"H, J, Y, Z",,,
,,KIDS,,,"H, Ks",,,
,,KMOS,,,"H, Ks, Y",,,
,,LEGA-C,,,H2,,,
,,LESS,,,H2-1-0S,,,
,,MAGIC,,,H2-cont,,,
,,MUSE,,,H23,,,
,,MUSE-DEEP,,,I,,,
,,MUSE-STD,,,i_SDSS,,,
,,MW-BULGE-PSFPHOT,,,"i_SDSS, z_SDSS",,,
,,NGTS,,,IB-2.42,,,
,,NIRPS,,,J,,,
,,OMEGACAM_INAF,,,"J, Ks",,,
,,PENELLOPE,,,"J, Ks, Y",,,
,,PESSTO,,,"J, Ks, Y, Z",,,
,,PHANGS,,,"J, Y",,,
,,PIONIER,,,"J, Y, Z",,,
,,SEDIGISM,,,J23,,,
,,SHARKS,,,J8.9,,,
,,SPHERE,,,K-peak,,,
,,SUPER,,,K12,,,
,,UltraVISTA,,,Ks,,,
,,UVES,,,"Ks, Y",,,
,,UVES_SQUAD,,,L_prime,,,
,,VANDELS,,,LF/HF,,,
,,VEGAS,,,Mp,,,
,,VEILS,,,NB_659,,,
,,VEXAS,,,"NB_659, g_SDSS, i_SDSS, r_SDSS",,,
,,VHS,,,"NB_659, g_SDSS, i_SDSS, r_SDSS, u_SDSS",,,
,,VIDEO,,,"NB_659, g_SDSS, r_SDSS, u_SDSS",,,
,,VIKING,,,"NB_659, i_SDSS",,,
,,VIMOS,,,"NB_659, i_SDSS, r_SDSS",,,
,,VINROUGE,,,"NB_659, i_SDSS, r_SDSS, u_SDSS",,,
,,VIPERS,,,NB0984,,,
,,VISIONS,,,NB1060,,,
,,VMC,,,NB118,,,
,,VPHASplus,,,NB1190,,,
,,VST-ATLAS,,,NB2090,,,
,,VVV,,,PaB,,,
,,VVVX,,,R,,,
,,XQ-100,,,r_SDSS,,,
,,XSGRB,,,U,,,
,,XSHOOTER,,,u_SDSS,,,
,,XShootU,,,V,,,
,,XSL,,,VIS/NIR_NGTS,,,
,,ZCOSMOS,,,Y,,,
,,,,,Y23,,,
,,,,,Z,,,
,,,,,z_SDSS,,,
