schema_name |    collection    |                   table_name                   |                                                            title                                                             |version
------------|------------------|------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------|-------
"TAP_SCHEMA"|                  |"columns"                                       |                                                                                                                              |       
"TAP_SCHEMA"|                  |"key_columns"                                   |                                                                                                                              |       
"TAP_SCHEMA"|                  |"schemas"                                       |                                                                                                                              |       
"TAP_SCHEMA"|                  |"tables"                                        |                                                                                                                              |       
"TAP_SCHEMA"|                  |"keys"                                          |                                                                                                                              |       
"safcat"    |"1101.A-0127"     |"AMUSED_MAIN_SOURCE_CAT_V1"                     |"AMUSED: the MUSE Hubble Ultra-Deep Field surveys"                                                                            |1      
"safcat"    |"195.B-0283"      |"GNS_catalogue_V1"                              |"GALACTICNUCLEUS Survey"                                                                                                      |1      
"safcat"    |"196.D-0214"      |"EREBOS_RV_cat_fits_V1"                         |"EREBOS_RV_cat.fits"                                                                                                          |1      
"safcat"    |"196.D-0214"      |"EREBOS_cat_fits_V1"                            |"EREBOS_cat.fits"                                                                                                             |1      
"safcat"    |"AMBRE"           |"AMBRE_V1"                                      |"Atmospheric Parameters and Chemical Abundances from Stellar Spectra"                                                         |1      
"safcat"    |"AMBRE"           |"AMBRE_HARPS_V1"                                |"Atmospheric Parameters and Chemical Abundances from Stellar Spectra - HARPS"                                                 |1      
"safcat"    |"AMBRE"           |"AMBRE_UVES_V1"                                 |"Atmospheric Parameters and Chemical Abundances from Stellar Spectra - UVES"                                                  |1      
"safcat"    |"ATLASGAL"        |"ATLASGAL_V1"                                   |"ATLASGAL - APEX Large Area Survey of the Galaxy"                                                                             |1      
"safcat"    |"FDS"             |"FDS_SourceCatalogue_V1"                        |"Fornax Deep Survey Source Catalogue"                                                                                         |1      
"safcat"    |"GAIAESO"         |"GES_2021_VRAD"                                 |"GAIAESO catalogue of radial velocities"                                                                                      |1      
"safcat"    |"GAIAESO"         |"GES_iDR4_PIII2016_Catalogue_v3_fits_V2"        |"Gaia-ESO spectroscopic survey"                                                                                               |2      
"safcat"    |"GAIAESO"         |"GES_DR5"                                       |"Gaia-ESO spectroscopic survey"                                                                                               |3      
"safcat"    |"GAIAESO"         |"GES_DR5_1_V1"                                  |"Gaia-ESO spectroscopic survey"                                                                                               |4      
"safcat"    |"GCAV"            |"gcav_rxcj1515_YJKs_cat_fits_V1"                |"GCAV catalogue for RXCJ1514.9-1523 cluster"                                                                                  |1      
"safcat"    |"GCAV"            |"gcav_rxcj2129_YJKs_cat_fits_V1"                |"GCAV catalogue for RXCJ2129.6+0005 cluster"                                                                                  |1      
"safcat"    |"GOODS_FORS2"     |"GOODS_FORS2_V1"                                |"GOODS/FORS2 Spectroscopic Survey"                                                                                            |1      
"safcat"    |"GOODS_ISAAC"     |"GOODS_ISAAC_V1"                                |"GOODS/ISAAC imaging"                                                                                                         |1      
"safcat"    |"GOODS_VIMOS_SPEC"|"GOODS_VIMOS_SPEC_V1"                           |"GOODS/VIMOS Spectroscopic Survey"                                                                                            |1      
"safcat"    |"HARPS"           |"HARPS_RVCAT_V1"                                |"HARPS Radial Velocities Catalog"                                                                                             |1      
