Table name: 2030e873-6a99-4e41-b057-6b9cace12dd5
+--------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| table_name                     | description                                                                                                                                                                                              |
+--------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| asm.ambient_lasilla            | Table containing historical La Silla ambient data measured by the old DIMM2 seeing monitor (1994-2023) and those measured by the Ring-Image Next Generation Scintillation Sensor (RINGSS) since 02 Ma... |
| asm.dimm_paranal               | Table containing the ambient measurements of the Differential Image Motion Monitor (DIMM) channel of the MASS-DIMM instrument. DIMM operates in an extended range of atmospheric conditions which ove... |
| asm.historical_ambient_paranal | Table containing the ambient measurements of the ESO seeing monitor DIMM3 seeing monitor, starting August 1998, and up to the deployment in operations of the new Astronomical Site Monitor (ASM) in ... |
| asm.lhatpros_paranal           | Ambient measurements, since 2014, of the Low Humidity and Temperature Profiling (LHATPRO) microwave radiometers located on Cerro Paranal. Measurements at zenith of: infrared temperature, liquid wat... |
| asm.lhatpros_paranal_irt       | Ambient measurements, since 2014, of the Low Humidity and Temperature Profiling (LHATPRO) microwave radiometers located on Cerro Paranal. Measurements at provided coordinates of the infrared temper... |
| asm.lhatpros_paranal_profiles  | Ambient measurements, since 2014, of the Low Humidity and Temperature Profiling (LHATPRO) microwave radiometers located on Cerro Paranal. Atmospheric profiles at provided coordinates and at 39 diff... |
| asm.mass_paranal               | Table containing the ambient measurements of the Multi-Aperture Scintillation Sensor located in Paranal. Included measurements like; vertical profile of the turbulence Cn2(h) (6 layers), Isoplanati... |
| asm.meteo_apex                 | Table containing the ambient measurements of the APEX weather station, which is located on a free-standing 6m high tower located about 50m West of the APEX telescope. The sensors are from Vaisala, ... |
| asm.meteo_lasilla              | Table containing the ambient measurements of the Vaisala METEOrological station, which was installed at La Silla in February 1985. It includes, on a 30 m high mast, a number of sensors. The followi... |
| asm.meteo_paranal              | Table containing the ambient measurements of the Vaisala METEOrological station, which was installed in Paranal in October 1984 and upgraded in June 1998. It includes, on a 30 m high mast, a number... |
| asm.meteo_vista                | Table containing the ambient measurements of the Vaisala METEOrological station, which was installed on the VISTA platform in May 2025. The following measurements are provided: Humidity and Pressur... |
