Table name: f551d9ad-d8a7-44ae-8023-f38a403b6014
+---------------------+----------+-----------+-------------+--------+------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| column_name         | datatype | arraysize | xtype       | unit   | ucd                                      | description                                                                                                                                                                                              |
+---------------------+----------+-----------+-------------+--------+------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| access_estsize      | long     |           |             | kbyte  | phys.size;meta.file                      | Estimated size of the downloaded file in KBytes. It is only "estimated" as in general, FITS headers can be patched at download time, making the file size varying with time.)                            |
| access_url          | char     | *         |             |        | meta.ref.url                             | A URL that can be used to download the raw file; if the file is under proprietary period, only authenticated users with the necessary access rights will be given access to it.                          |
| datalink_url        | char     | *         |             |        | meta.ref.url                             | A URL that can be used to find the access points of the raw file itself, and of all its related files. Related files are: the calibration files necessary to reduce a science raw frame (see calSelec... |
| date_obs            | char     | 32*       |             |        | time.start;obs.exposure                  | The content of the DATE_OBS keyword exposed as a string and not a datetime field (ESO_DATEADD_SEC does not work on this column, use exp_start instead).                                                  |
| dec                 | double   |           |             | deg    | pos.eq.dec;meta.main                     | Declination FK5 J2000                                                                                                                                                                                    |
| dec_pnt             | double   |           |             | deg    | pos.eq.dec;instr.tel                     | Pointing Declination FK5 J2000 of the telescope                                                                                                                                                          |
| det_chip1id         | char     | 7*        |             |        |                                          | Detector chip identification. Read from keyword DET CHIP1 ID (alias DET CHIP ID). Example: HASCI03                                                                                                       |
| det_chop_ncycles    | short    |           |             |        |                                          | Number of cycles for chopping. Read from keyword DET CHOP NCYCLES. Example:  1                                                                                                                           |
| det_dit             | float    |           |             | s      |                                          | Detector Integration Time (Infrared instruments).                                                                                                                                                        |
| det_expid           | short    |           |             |        |                                          | Unique exposure ID number. Read from keyword DET EXP ID (aliases DET EXPO NO, DET EXP NO).                                                                                                               |
| det_ndit            | short    |           |             |        |                                          | Number of exposures, each with det_dit integration time (Infrared instruments).                                                                                                                          |
| dp_cat              | char     | 10*       |             |        | meta.code.class;obs                      | Observation category: SCIENCE,CALIB,ACQUISITION,TECHNICAL,TEST,SIMULATION,OTHER                                                                                                                          |
| dp_id               | char     | 30*       |             |        | meta.id;meta.dataset                     | The main unique ESO archive file identifier                                                                                                                                                              |
| dp_tech             | char     | 30*       |             |        | meta.code.class;instr.setup              | Mode/technique used for the observation                                                                                                                                                                  |
| dp_type             | char     | 30*       |             |        | meta.code.class;obs                      | Type of observation/exposure                                                                                                                                                                             |
| ecl_lat             | double   |           |             | deg    | pos.ecliptic.lat                         | Ecliptic latitude of the observation.                                                                                                                                                                    |
| ecl_lon             | double   |           |             | deg    | pos.ecliptic.lon                         | Ecliptic longitude of the observation.                                                                                                                                                                   |
| exp_start           | char     | *         | timestamp   |        | time.start;obs.exposure                  | The start time of the observation (format: ISO-8601).                                                                                                                                                    |
| exposure            | float    |           |             | s      | time.duration;obs.exposure               | Total exposure time on target.                                                                                                                                                                           |
| filter_path         | char     | 255*      |             |        | instr.setup;instr.filter                 | All filters.  The string is in the format <value>,<value>,... where <value> is the value of one of the keywords INS.FILT*.NAME                                                                           |
| gal_lat             | double   |           |             | deg    | pos.galactic.lat                         | Galactic latitude of the observation.                                                                                                                                                                    |
| gal_lon             | double   |           |             | deg    | pos.galactic.lon                         | Galactic longitude of the observation.                                                                                                                                                                   |
| grat_path           | char     | 255*      |             |        | instr.setup                              | All gratings. The string is in the format <value>, <value>,... where <value> is the value of one of the keywords INS.GRAT*.NAME.                                                                         |
| gris_path           | char     | 255*      |             |        | instr.setup                              | All grisms.  The string is in the format <value>, <value>,...  where <value> is the value of one of the keywords INS.GRIS*.NAME. Example: GRIS_600B                                                      |
| ins_mode            | char     | 30*       |             |        | instr.setup                              | Instrument mode                                                                                                                                                                                          |
| instrument          | char     | 20*       |             |        | meta.id;instr                            | Instrument name                                                                                                                                                                                          |
| lambda_max          | double   |           |             | nm     | em.wl;stat.max                           | [nm] Maximum wavelength of the overall transmission curve (filter + detector + optics); currently available only for images.                                                                             |
| lambda_min          | double   |           |             | nm     | em.wl;stat.min                           | [nm] Minimum wavelength of the overall transmission curve (filter + detector + optics); currently available only for images.                                                                             |
| last_mod_date       | char     | *         | timestamp   |        | time                                     | The last modification date of this record (format: ISO-8601).                                                                                                                                            |
| mjd_obs             | double   |           |             | d      | time.start;obs                           | Modified Julian Date (JD - 2400000.5) of the start of the observation.                                                                                                                                   |
| ob_id               | int      |           |             |        | meta.id;obs;meta.main                    | The identifier of the ESO Observation Block, a unique numeric ID assigned by the Observation Handling System                                                                                             |
| ob_name             | char     | 70*       |             |        | meta.id;obs                              | The name of the ESO Observation Block                                                                                                                                                                    |
| object              | char     | 64*       |             |        | meta.id;src                              | Target designation as given by the astronomer, though at times overwritten by the obeservatory, especially for CALIB observations. Compare with the similar field called "target".)                      |
| obs_mode            | char     | 7*        |             |        | obs.param                                | Service or Visitor mode                                                                                                                                                                                  |
| origfile            | char     | 68*       |             |        | meta.id;meta.file                        | The original file name as used on the instrument workstation at the telescope. Read from keyword ORIGFILE. Example: HD75289_0012.fits                                                                    |
| period              | short    |           |             |        | obs.proposal.cycle                       | ESO proposal cycle                                                                                                                                                                                       |
| pi_coi              | char     | 255*      |             |        | meta.curation;obs.observer               | Names of the Principal and Co-Investigators                                                                                                                                                              |
| prog_id             | char     | 15*       |             |        | meta.code;obs                            | ESO program run identification code                                                                                                                                                                      |
| prog_title          | char     | 255*      |             |        | meta.title;obs.proposal                  | Title of the observing programme                                                                                                                                                                         |
| prog_type           | int      |           |             |        | meta.code.class;obs.proposal             | Program type: 0=Normal, 1=GTO, 2=DDT, 3=ToO, 4=Large, 5=Short, 6=Calibration, 7=Monitoring MAPPING                                                                                                       |
| ra                  | double   |           |             | deg    | pos.eq.ra;meta.main                      | Right Ascension FK5 J2000                                                                                                                                                                                |
| ra_pnt              | double   |           |             | deg    | pos.eq.ra;instr.tel                      | Pointing Right Ascension FK5 J2000 of the telescope                                                                                                                                                      |
| release_date        | char     | *         | timestamp   |        | time.release;obs                         | The date at which the data become publicly available at the end of the proprietary period                                                                                                                |
| s_region            | char     | *         | adql:REGION |        | pos.outline;obs.field                    | This is the field to be used for spatial queries. Example: select * from dbo.raw where contains( s_region, circle('', 56.3, 20, 1)=1  to search in a cone of 1 deg radius around ra=56.3 dec=20. In o... |
| slit_path           | char     | 255*      |             |        | instr.setup                              | All slits. The string is in the format <value>, <value>,... where <value> is the value of one of the keywords INS.SLIT*.NAME.                                                                            |
| target              | char     | 64*       |             |        | meta.id;src                              | Target designation (as given by the astronomer)                                                                                                                                                          |
| tel_airm_end        | float    |           |             |        | obs.airMass;time.end                     | The airmass at the end of the observation.                                                                                                                                                               |
| tel_airm_start      | float    |           |             |        | obs.airMass;time.start                   | The airmass at the start of the observation.                                                                                                                                                             |
| tel_alt             | float    |           |             | deg    | pos.az.alt;time.start                    | The Altitude angle (deg) at the start of the observation.                                                                                                                                                |
| tel_ambi_fwhm_end   | float    |           |             | arcsec | instr.obsty.seeing;time.end              | Site seeing at the end of the observation as measured by the ASM (Astronomical Site Monitor). FWHM at 0.5 um, in arcseconds.                                                                             |
| tel_ambi_fwhm_start | float    |           |             | arcsec | instr.obsty.seeing;time.start            | Site seeing at the start of the observation as measured by the ASM (Astronomical Site Monitor). FWHM at 0.5 um, in arcseconds.                                                                           |
| tel_ambi_pres_end   | float    |           |             | hPa    | phys.pressure;obs.atmos;time.end         | Average site barometric air pressure at the end of the observation, as measured by the ASM (Astronomical Site Monitor). Expressed in hectopascal.                                                        |
