Table name: 6c593c66-24a9-465e-881e-a6956fabd07b
+--------------------+----------+-----------+-------------+--------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| column_name        | datatype | arraysize | xtype       | unit   | description                                                                                                                                                                                              |
+--------------------+----------+-----------+-------------+--------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| access_estsize     | long     |           |             | kbyte  | The size in kilobytes of the downloaded file.                                                                                                                                                            |
| access_url         | char     | 1024*     |             |        | The URL that can be used to download the data set.                                                                                                                                                       |
| APERTURE           | double   |           |             | arcsec | Aperture angular size, in degrees. Set to the width of the slit or the diameter of the fiber. Ref. the APERTURE keyword in the ESO SDP standard.                                                         |
| COLLECTION         | char     | 128*      |             |        | The name of the data collection the data set belongs to.                                                                                                                                                 |
| creation_type      | char     | 8*        |             |        | The creation type describes the process used to produce the dataset as returned by the service, from the data source. At the moment no cutout is provided, and the entire archival or project dataset... |
| CREATORDID         | char     | 92*       |             |        | The original file name as assigned by the data producer, in form of a IVOA identifier.                                                                                                                   |
| curation_reference | char     | 70*       |             |        | Link to the release notes pertaining to the dataset, describing the calibration process, and other data qualities, written by the data provider.                                                         |
| datalink_url       | char     | 1024*     |             |        | The URL that can be used to download the spectrum, and its associated files (if any).                                                                                                                    |
| dataset_length     | long     |           |             |        | Number of pixels in the spectrum.                                                                                                                                                                        |
| dataset_title      | char     | 64*       |             |        | A short, human-readable description of a dataset, and should be less than one line of text. The exact contents of Dataset.Title are up to the data provider.                                             |
| dp_id              | char     | 45*       |             |        | ESO dataset identifier for the published data set. It is unique within the namespace controlled by the publisher.                                                                                        |
| em_bw              | double   |           |             | m      | Length in meters of the spectrum. Ref. SPEC_BW keyword in ESO SDP standard.                                                                                                                              |
| em_max             | double   |           |             | m      | Maximum spectral value observed, expressed in vacuum wavelength in meters; ref. WAVELMAX keyword in ESO SDP standard.                                                                                    |
| em_min             | double   |           |             | m      | Minimum specrtal value observed, expressed in vacuum wavelength in meters; ref. WAVELMIN keyword in ESO SDP standard.                                                                                    |
| em_val             | double   |           |             | m      | The central wavelength of the spectrum, expressed in meters                                                                                                                                              |
| equinox            | double   |           |             |        | ESO coordinates are in FK5, equinox 2000, epoch 2000.                                                                                                                                                    |
| flux_ucd           | char     | 64*       |             |        | The Unified Content Descriptor of the observed flux: typically phot.flux.density;em.wl: a flux density sampled in wavelength (as opposed to frequency: em.freq), or phot.flux.density;em.wl;stat.unca... |
| FLUXCALIB          | char     | 12*       |             |        | Level of the calibration of the observable (typically flux); one of: UNCALIBRATED, ABSOLUTE, NORMALIZED. Ref. FLUXCAL in ESO SDP standard.                                                               |
| FORMAT             | char     | 27*       |             |        | The format of the downloaded file.                                                                                                                                                                       |
| gal_lat            | double   |           |             | deg    | Galactic coordinate: latitude of the spectroscopic target.                                                                                                                                               |
| gal_lon            | double   |           |             | deg    | Galactic coordinate: longitude of the spectroscopic target.                                                                                                                                              |
| instrument_name    | char     | *         |             |        | Instrument name                                                                                                                                                                                          |
| MTIME              | char     | *         | timestamp   |        | ISO 8601 of the last modification date of the dataset: deleted datasets are currently not exposed via this interface.                                                                                    |
| obs_creator_name   | char     | 64*       |             |        | The Principal Investigator either of the team that provided the data set to ESO through the Phase 3 process, or of the observing team in case the data have been certified by ESO.                       |
| positionJ2000      | double   | 2         |             | deg    | Equatorial coordinates (FK5/J2000); spectroscopic target position. Ref. RA and DEC keyword in ESO SDP standard. Identical information is also provided both: in individual s_ra and s_dec columns, an... |
| PUBDID             | char     | 128*      |             |        | IVOA dataset identifier for the published data set. It is unique within the namespace controlled by the publisher.                                                                                       |
| publication_date   | char     | 25*       | timestamp   |        | Date when the dataset was published at ESO.                                                                                                                                                              |
| publisher          | char     | 29*       |             |        | A short string identifying the publisher of the data.                                                                                                                                                    |
| rights             | char     | 64*       |             |        | Either public or proprietary                                                                                                                                                                             |
| s_dec              | double   |           |             | deg    | Equatorial coordinate: Declination (FK5/J2000); spectroscopic target position. Ref. DEC keyword in ESO SDP standard.                                                                                     |
| s_ra               | double   |           |             | deg    | Equatorial coordinate: Right Ascension (FK5/J2000); spectroscopic target position. Ref. RA keyword in ESO SDP standard.                                                                                  |
| s_region           | char     | *         | adql:REGION |        | The spatial footprint of the data set. For an ESO spectrum, the returned footprint is the position (s_ra,s_dec).                                                                                         |
| SNR                | double   |           |             |        | Signal to noise ratio (average)                                                                                                                                                                          |
| space_frame        | char     | 3*        |             |        | ESO coordinates are in FK5, equinox 2000, epoch 2000.                                                                                                                                                    |
| spatial_resolution | double   |           |             | deg    | The spatial resolution in degrees.                                                                                                                                                                       |
| SPECRP             | double   |           |             |        | The characteristic spectral resolving power (lambda/delta(lambda)) of the data set. Ref. SPECRES keyword in ESO SDP standard.                                                                            |
| t_elapsed          | double   |           |             | s      | The elapsed time, in seconds, between the beginning of the (first) observation and the end of the (last) observation.                                                                                    |
| t_exptime          | double   |           |             | s      | Total integration time per pixel (in seconds); ref. EXPTIME keyword in ESO SDP standard.                                                                                                                 |
| t_max              | double   |           |             | d      | Stop time in MJD; ref. MJD-END keyword in ESO SDP standard.                                                                                                                                              |
| t_mid              | double   |           |             | d      | Midpoint of the observation.                                                                                                                                                                             |
| t_min              | double   |           |             | d      | Start time in MJD; ref MJD-OBS keyword in ESO SDP standard.                                                                                                                                              |
| TARGETNAME         | char     | 128*      |             |        | The target name as assigned by the Principal Investigator; ref. Ref. OBJECT keyword in ESO SDP standard. For spectroscopic public surveys, the value shall be set to the survey source identifier, wh... |
| WAVECALIB          | char     | 8*        |             |        | The calibration status of the spectral axis (default: absolute).                                                                                                                                         |
+--------------------+----------+-----------+-------------+--------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
